DailyAvgDr,DailyAvgPr,DailyAvgRe,DailyAvgHo,LongLat_X,LongLat_Y,FireEvent,Year,Month,Day
52.33,0.01,98.9,0.92,-122.8102,38.5038,0,2010,1,1
48.65,0,95.12,3.9,-122.8102,38.5038,0,2010,1,2
41.05,0,96.71,1.22,-122.8102,38.5038,0,2010,1,3
43.59,0,96.48,1.93,-122.8102,38.5038,0,2010,1,4
43.04,0,96.88,0.95,-122.8102,38.5038,0,2010,1,5
43.91,0,98.11,1.07,-122.8102,38.5038,0,2010,1,6
45.1,0,99.41,1.18,-122.8102,38.5038,0,2010,1,7
46.14,0,97.19,1.72,-122.8102,38.5038,0,2010,1,8
45.92,0,98,0.72,-122.8102,38.5038,0,2010,1,9
45.79,0,97.92,1.15,-122.8102,38.5038,0,2010,1,10
46.99,0.01,95.29,2.25,-122.8102,38.5038,0,2010,1,11
53.78,0.04,98.31,9.03,-122.8102,38.5038,0,2010,1,12
51.02,0,89.46,3.54,-122.8102,38.5038,0,2010,1,13
42.27,0,94.14,1.65,-122.8102,38.5038,0,2010,1,14
44.12,0,96.53,1.8,-122.8102,38.5038,0,2010,1,15
47.17,0.01,97.23,0.77,-122.8102,38.5038,0,2010,1,16
50.8,0.02,97.58,6.85,-122.8102,38.5038,0,2010,1,17
51.67,0.03,87.51,13.39,-122.8102,38.5038,0,2010,1,18
49.31,0.07,90.08,12.92,-122.8102,38.5038,0,2010,1,19
47.89,0.08,89.34,12.51,-122.8102,38.5038,0,2010,1,20
43.96,0.06,95.83,5,-122.8102,38.5038,0,2010,1,21
41.56,0.01,95.27,1.63,-122.8102,38.5038,0,2010,1,22
45.01,0.01,93.85,2.11,-122.8102,38.5038,0,2010,1,23
44.37,0.01,95.61,2.13,-122.8102,38.5038,0,2010,1,24
49.36,0.07,96.65,4.88,-122.8102,38.5038,0,2010,1,25
49.36,0,97.68,1.82,-122.8102,38.5038,0,2010,1,26
47.87,0,96.48,1.64,-122.8102,38.5038,0,2010,1,27
45.62,0,97.51,0.91,-122.8102,38.5038,0,2010,1,28
46.84,0.01,96.36,3.53,-122.8102,38.5038,0,2010,1,29
47.1,0,94.7,1.39,-122.8102,38.5038,0,2010,1,30
44.49,0,96.39,2.8,-122.8102,38.5038,0,2010,1,31
49.36,0,91.69,1.41,-122.8102,38.5038,0,2010,2,1
46.79,0,95.43,1.34,-122.8102,38.5038,0,2010,2,2
49.45,0,90.35,1.43,-122.8102,38.5038,0,2010,2,3
49.96,0.05,93.83,7.6,-122.8102,38.5038,0,2010,2,4
50.33,0,92.62,2.9,-122.8102,38.5038,0,2010,2,5
49.73,0.05,91.83,5.7,-122.8102,38.5038,0,2010,2,6
42.16,0,91.77,1.04,-122.8102,38.5038,0,2010,2,7
41.82,0,95.45,1.39,-122.8102,38.5038,0,2010,2,8
45.23,0.01,92.89,3.49,-122.8102,38.5038,0,2010,2,9
40.26,0,95.35,1.28,-122.8102,38.5038,0,2010,2,10
48.89,0.01,92.43,3.15,-122.8102,38.5038,0,2010,2,11
52.82,0,94.57,2.62,-122.8102,38.5038,0,2010,2,12
48.64,0,95.5,1.76,-122.8102,38.5038,0,2010,2,13
48.97,0,92.96,1.85,-122.8102,38.5038,0,2010,2,14
50.44,0,95.48,0.98,-122.8102,38.5038,0,2010,2,15
50.72,0,91.46,1.1,-122.8102,38.5038,0,2010,2,16
49.72,0,91.7,1.05,-122.8102,38.5038,0,2010,2,17
46.19,0,96.34,2.11,-122.8102,38.5038,0,2010,2,18
49.49,0,89.21,2.29,-122.8102,38.5038,0,2010,2,19
46.48,0,90.86,2,-122.8102,38.5038,0,2010,2,20
48.28,0,89.62,1.38,-122.8102,38.5038,0,2010,2,21
43.99,0,90.37,2.84,-122.8102,38.5038,0,2010,2,22
47.26,0.08,95.98,4.3,-122.8102,38.5038,0,2010,2,23
51.6,0,93.75,2.77,-122.8102,38.5038,0,2010,2,24
48.88,0,93.53,2.4,-122.8102,38.5038,0,2010,2,25
52.25,0.02,91.69,7.89,-122.8102,38.5038,0,2010,2,26
48.48,0.01,90.59,2.92,-122.8102,38.5038,0,2010,2,27
43.92,0,93.9,1.66,-122.8102,38.5038,0,2010,2,28
51.48,0,87.83,3.46,-122.8102,38.5038,0,2010,3,1
52.38,0.02,87.25,7.92,-122.8102,38.5038,0,2010,3,2
45.17,0.03,93.12,4.4,-122.8102,38.5038,0,2010,3,3
42.78,0,87.74,1.24,-122.8102,38.5038,0,2010,3,4
41.6,0,89.87,2.36,-122.8102,38.5038,0,2010,3,5
52.9,0,71.6,4.04,-122.8102,38.5038,0,2010,3,6
51.54,0,76.4,3.88,-122.8102,38.5038,0,2010,3,7
46.79,0,74.31,7.88,-122.8102,38.5038,0,2010,3,8
44.3,0.01,75.41,5.66,-122.8102,38.5038,0,2010,3,9
45.98,0,72.12,5.08,-122.8102,38.5038,0,2010,3,10
40.33,0,88.76,1.08,-122.8102,38.5038,0,2010,3,11
49.28,0.03,93.18,6.07,-122.8102,38.5038,0,2010,3,12
43.24,0,78.89,4.53,-122.8102,38.5038,0,2010,3,13
49.1,0,72.48,2.24,-122.8102,38.5038,0,2010,3,14
46.73,0,85.29,2.16,-122.8102,38.5038,0,2010,3,15
53.59,0,78.43,3.39,-122.8102,38.5038,0,2010,3,16
56.38,0,75.88,3.92,-122.8102,38.5038,0,2010,3,17
51.48,0,74.44,4.17,-122.8102,38.5038,0,2010,3,18
56.86,0,53.2,6.16,-122.8102,38.5038,0,2010,3,19
